	bsize	iteration	throughput
0	2	0	35.91955972011836
1	2	1	33.61308333465831
2	2	2	33.969846810820556
3	2	3	39.30943667755604
4	2	4	44.01603687928139
5	2	5	47.34744391100463
6	2	6	55.49207343792006
7	2	7	58.16144824988053
8	2	8	58.67090297515175
9	2	9	59.610954295099965
10	2	10	61.16555303068661
11	2	11	65.92416560735647
12	2	12	66.07407838697422
13	2	13	66.17748316083414
14	2	14	66.28528890579106
15	2	15	65.99691419915261
16	2	16	66.43042337218455
17	2	17	66.30174370115857
18	2	18	66.10804531133749
19	2	19	66.3731395188236
20	2	20	66.7035921845214
21	2	21	66.6311284042242
22	2	22	65.76621463432747
23	2	23	65.98269874659577
24	2	24	66.70209859426849
25	2	25	66.563359694576
26	2	26	61.5704114226003
27	2	27	65.30996222075397
28	2	28	66.14631551669366
29	2	29	66.43847112492993
30	2	30	66.716910158846
31	2	31	66.12993776983757
32	2	32	66.39640612836519
33	2	33	41.833276176636694
34	2	34	50.08638977484396
35	2	35	55.50666100470944
36	2	36	63.465048212388474
37	2	37	65.6354048206008
38	2	38	65.74511466439913
39	2	39	65.55135130708423
40	2	40	64.31245553347563
41	2	41	63.561736704481895
42	2	42	64.57492334400575
43	2	43	64.4803875454689
44	2	44	66.00855109173126
45	2	45	66.37779069576797
46	2	46	66.78477937111958
47	2	47	67.07246243318826
48	2	48	65.3443083873265
49	2	49	67.29641965996368
50	2	50	66.14757567939077
51	2	51	67.32222266522619
52	2	52	66.28873342633102
53	2	53	67.20328838356305
54	2	54	67.25137666128845
55	2	55	66.08889140437759
56	2	56	65.8106731840348
57	2	57	63.675837751757896
58	2	58	63.30415274725241
59	2	59	64.0063912631901
60	2	60	64.43863818363687
61	2	61	64.19995087238256
62	2	62	64.13907499868183
63	2	63	63.2742882490392
64	2	64	40.33507109690209
65	2	65	43.27409579583734
66	2	66	48.30059188234838
67	2	67	51.26518287901219
68	2	68	55.940325255143556
69	2	69	59.8338081649739
70	2	70	61.05065422227977
71	2	71	66.67904129801107
72	2	72	66.49056346303665
73	2	73	66.244468024404
74	2	74	66.75610126277984
75	2	75	66.2135174017792
76	2	76	66.39295040916875
77	2	77	66.62537484779254
78	2	78	66.69946375864087
79	2	79	65.67837429587989
80	2	80	65.88448776245855
81	2	81	66.12986687007668
82	2	82	66.20524398447253
83	2	83	66.59960400084398
84	2	84	66.83048136256232
85	2	85	66.13665725472852
86	2	86	66.56846440127673
87	2	87	65.95874609339913
88	2	88	66.355733852615
89	2	89	66.46546131927136
90	2	90	65.20394078107975
91	2	91	66.51646516841973
92	2	92	66.00492788484992
93	2	93	66.42519674464744
94	2	94	40.57622185168173
95	2	95	48.40098609919189
96	2	96	54.58267606361094
97	2	97	62.868471123819134
98	2	98	68.1671452973117
99	2	99	67.96957854201982
100	4	0	134.54299915475653
101	4	1	134.81245584521025
102	4	2	132.81552753676846
103	4	3	134.3363824905441
104	4	4	134.49624066322556
105	4	5	132.7634730281147
106	4	6	134.38634523509336
107	4	7	134.72615216399038
108	4	8	132.5069174086179
109	4	9	134.78251201225538
110	4	10	133.76022096071657
111	4	11	134.4158289734144
112	4	12	134.35066852390707
113	4	13	134.82045524867107
114	4	14	134.65895260136526
115	4	15	134.40339823045147
116	4	16	133.93048674934673
117	4	17	134.64865540237125
118	4	18	134.5366293209703
119	4	19	134.1289496577689
120	4	20	134.76900005565165
121	4	21	134.580375817178
122	4	22	134.47063606925872
123	4	23	134.55111336665536
124	4	24	134.57790584747067
125	4	25	134.70539169193253
126	4	26	134.69391949522665
127	4	27	134.47627531434998
128	4	28	134.91955144334156
129	4	29	134.4529884610897
130	4	30	133.16402345396472
131	4	31	133.94095669319978
132	4	32	134.7204832883548
133	4	33	134.7958880528336
134	4	34	134.81813246383976
135	4	35	134.7916687689515
136	4	36	133.20347200776627
137	4	37	134.46585946405935
138	4	38	134.57646363435742
139	4	39	133.81607423580257
140	4	40	134.90310484299206
141	4	41	134.68100479775134
142	4	42	134.5143310237928
143	4	43	134.86147251623365
144	4	44	134.3929936660437
145	4	45	134.71917648545391
146	4	46	134.4315882232618
147	4	47	134.76711206207398
148	4	48	134.5415490582678
149	4	49	128.20723340834675
150	4	50	132.06327519758779
151	4	51	134.71700430626348
152	4	52	135.12052334564578
153	4	53	135.0720489846403
154	4	54	134.3456164287207
155	4	55	134.92654788843998
156	4	56	134.76420223061322
157	4	57	135.0529385891758
158	4	58	133.92947747851997
159	4	59	133.9449774497588
160	4	60	134.90543055675366
161	4	61	131.01256123862305
162	4	62	134.62544709003183
163	4	63	135.06358476953847
164	4	64	134.41756067308
165	4	65	135.26074633882405
166	4	66	134.48163044817935
167	4	67	135.03397271610004
168	4	68	134.6058753484608
169	4	69	134.5874753258135
170	4	70	134.55400537022126
171	4	71	134.8325298188463
172	4	72	132.15625951163074
173	4	73	134.21665426676586
174	4	74	132.3324082935676
175	4	75	134.80475200840985
176	4	76	129.9826237542298
177	4	77	135.29427209957555
178	4	78	134.3482155852622
179	4	79	134.66432229457024
180	4	80	133.08250231544866
181	4	81	134.50578990384335
182	4	82	134.53590433747087
183	4	83	126.70378409645029
184	4	84	107.47418807777922
185	4	85	112.01790789216592
186	4	86	116.45803105677808
187	4	87	121.54554857348788
188	4	88	125.18289584773896
189	4	89	134.57370883414612
190	4	90	134.68057233232184
191	4	91	134.5379325847656
192	4	92	134.05530016366728
193	4	93	134.46817012600556
194	4	94	130.96424098546413
195	4	95	133.557853903138
196	4	96	134.51534912862243
197	4	97	134.49841435489822
198	4	98	134.65402427436405
199	4	99	134.09340946371256
200	8	0	269.90670231956864
201	8	1	270.28810146423797
202	8	2	271.4791674905706
203	8	3	270.62866534442037
204	8	4	270.1154965955614
205	8	5	270.1987079201973
206	8	6	270.31907390783124
207	8	7	269.9029159950417
208	8	8	270.9160762956507
209	8	9	269.45026173133465
210	8	10	270.6576724146387
211	8	11	270.69166452723454
212	8	12	270.0906927658998
213	8	13	270.91871864863083
214	8	14	269.5670683614698
215	8	15	270.37403349416866
216	8	16	270.01251920094705
