	bsize	iteration	throughput
0	2	0	68.68757932316359
1	2	1	68.30446536169104
2	2	2	67.5003661235164
3	2	3	68.22447054230781
4	2	4	68.25166996184106
5	2	5	68.23667984446939
6	2	6	68.32616291855702
7	2	7	68.69882971492216
8	2	8	68.82000459423095
9	2	9	66.31415516450853
10	2	10	68.38297560140539
11	2	11	68.36848496703261
12	2	12	68.48961463096016
13	2	13	68.30335303792727
14	2	14	68.7303504272804
15	2	15	67.49167679075717
16	2	16	68.10261739299864
17	2	17	67.81248635845533
18	2	18	68.70952100124501
19	2	19	68.42034517634009
20	2	20	68.64767017463461
21	2	21	68.49408844470572
22	2	22	68.28389323478416
23	2	23	68.15352117253258
24	2	24	68.4047230739122
25	2	25	69.03863183711093
26	2	26	67.93330255986655
27	2	27	68.8019421934976
28	2	28	68.44546708116091
29	2	29	68.13691375473138
30	2	30	68.58368761854928
31	2	31	67.98836144363486
32	2	32	65.55443718545841
33	2	33	68.33618182558756
34	2	34	68.51031092018327
35	2	35	67.90525685236453
36	2	36	68.30669011790762
37	2	37	68.67689486352398
38	2	38	68.31948527914648
39	2	39	68.18010988653727
40	2	40	67.78508803826978
41	2	41	67.95311348189911
42	2	42	67.72324931781118
43	2	43	68.24445167588675
44	2	44	68.475078771652
45	2	45	68.16016640665627
46	2	46	68.541098800536
47	2	47	68.72471960740941
48	2	48	67.72488959576306
49	2	49	67.96192204551531
50	2	50	68.14743084609448
51	2	51	63.73983146793104
52	2	52	68.34508998769748
53	2	53	67.51829494051931
54	2	54	67.54439022819138
55	2	55	68.69995495679947
56	2	56	67.95421442747782
57	2	57	68.27000016276837
58	2	58	68.64317627612392
59	2	59	68.01426996173056
60	2	60	68.41755499188477
61	2	61	68.03026592164272
62	2	62	41.63039572808211
63	2	63	49.72205559836406
64	2	64	55.95464187088942
65	2	65	59.061394615297964
66	2	66	69.59305779090411
67	2	67	56.37656926261459
68	2	68	53.001547977835486
69	2	69	57.078174011853
70	2	70	59.1843202551204
71	2	71	57.10848327648769
72	2	72	58.94767613452701
73	2	73	59.96402990835919
74	2	74	62.514777994723744
75	2	75	48.9071775467727
76	2	76	44.44719496428799
77	2	77	50.705142076535765
78	2	78	53.31957006743916
79	2	79	66.5329547437382
80	2	80	68.09100870962767
81	2	81	66.13952314873218
82	2	82	68.00875585750653
83	2	83	68.39078079522571
84	2	84	68.56799084518555
85	2	85	68.41922907524918
86	2	86	64.97155957618192
87	2	87	66.97758792766179
